2026-02-01 10:40:48 | INFO | fxbot | CLOSE trade_id=155 pair=USD/JPY side=SHORT reason=TIME exit=154.73456 pnl=268.90 equity=13362.29
2026-02-01 10:40:48 | INFO | fxbot | OPEN trade_id=156 pair=EUR/USD side=SHORT p_up=0.231 entry=1.18547 sl=1.18558 tp=1.18534 units=2494294.17 equity=13362.29
2026-02-01 10:40:48 | INFO | fxbot | CLOSE trade_id=156 pair=EUR/USD side=SHORT reason=TIME exit=1.18546 pnl=24.94 equity=13387.23
2026-02-01 10:40:50 | INFO | fxbot | Replay done. equity=13387.23 opened=57 closed=57 open_now=0 halted=False
2026-02-01 13:55:09 | INFO | fxbot | Bootstrapped app (db=paper_trader.sqlite, pairs=['EUR/USD', 'USD/JPY'], tf=15min)
2026-02-01 13:55:09 | INFO | fxbot | Cleared trades/signals from cutoff=2026-01-25 12:55:09
2026-02-01 13:55:10 | INFO | fxbot | Replay set EUR/USD rows=2029 from=2026-01-25 12:55:09
2026-02-01 13:55:10 | INFO | fxbot | Replay set USD/JPY rows=2029 from=2026-01-25 12:55:09
2026-02-01 13:55:10 | INFO | fxbot | Starting replay (model=model/artifacts/gb_model_upto_lastweek.joblib, days=7, total_bars=2029, pairs=['EUR/USD', 'USD/JPY'])
2026-02-01 13:55:10 | INFO | fxbot | Initialized replay day=2026-01-25 equity=10000.00
2026-02-01 13:55:10 | INFO | fxbot | OPEN trade_id=157 pair=USD/JPY side=SHORT p_up=0.231 entry=155.73361 sl=155.75020 tp=155.71370 units=12054.68 equity=10000.00
2026-02-01 13:55:10 | INFO | fxbot | OPEN trade_id=158 pair=USD/JPY side=SHORT p_up=0.231 entry=155.72825 sl=155.74290 tp=155.71067 units=13653.21 equity=10000.00
2026-02-01 13:55:10 | INFO | fxbot | CLOSE trade_id=157 pair=USD/JPY side=SHORT reason=TIME exit=155.72593 pnl=92.58 equity=10092.58
2026-02-01 13:55:10 | INFO | fxbot | OPEN trade_id=159 pair=USD/JPY side=SHORT p_up=0.411 entry=155.72498 sl=155.73870 tp=155.70851 units=14710.30 equity=10092.58
2026-02-01 13:55:11 | INFO | fxbot | OPEN trade_id=160 pair=USD/JPY side=SHORT p_up=0.231 entry=155.72752 sl=155.74086 tp=155.71152 units=15134.55 equity=10092.58
2026-02-01 13:55:11 | INFO | fxbot | CLOSE trade_id=158 pair=USD/JPY side=SHORT reason=TIME exit=155.72554 pnl=37.00 equity=10129.58
2026-02-01 13:55:11 | INFO | fxbot | OPEN trade_id=161 pair=USD/JPY side=SHORT p_up=0.231 entry=155.72752 sl=155.74053 tp=155.71191 units=15575.41 equity=10129.58
2026-02-01 13:55:11 | INFO | fxbot | CLOSE trade_id=159 pair=USD/JPY side=SHORT reason=TIME exit=155.72394 pnl=15.30 equity=10144.88
2026-02-01 13:55:11 | INFO | fxbot | CLOSE trade_id=160 pair=USD/JPY side=SHORT reason=TIME exit=155.72117 pnl=96.10 equity=10240.98
2026-02-01 13:55:11 | INFO | fxbot | CLOSE trade_id=161 pair=USD/JPY side=SHORT reason=TIME exit=155.72117 pnl=98.90 equity=10339.89
2026-02-01 13:55:11 | INFO | fxbot | OPEN trade_id=162 pair=USD/JPY side=SHORT p_up=0.231 entry=155.72112 sl=155.73456 tp=155.70500 units=15391.64 equity=10339.89
2026-02-01 13:55:11 | INFO | fxbot | OPEN trade_id=163 pair=USD/JPY side=SHORT p_up=0.016 entry=155.72292 sl=155.73621 tp=155.70697 units=15557.89 equity=10339.89
